ID,Created,Title,Reason for desk reservation,DeskText,Reserved By,Check Out From,Check Out To,Check Out From Text,Check Out To Text,Check Out From Number,Check Out To Number,Service,Description,RoomReservation,Manager,Asset,RecurrenceFrequency,RecurrenceEndDate,MeetingCategory,RecurrenceID,RecurrenceDayName,RecurrenceTimes,OptionalAttendees,DeskFloor,IsRecurring,OutlookEventID,Created By,OutlookSeriesID,RecurrencePattern,ParentReservationID,Floor
87,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 16 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 16","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
88,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 15 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 15","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
89,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 14 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 14","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
90,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 13 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 13","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
91,10/27/2025 16:03,"lastName, firstName A. - Bldg. 6, RM317, Desk 10 @ 11/19/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 10","lastName, firstName A.",11/19/25 0:00,11/19/25 23:00,11/19/2025 00:00,11/19/2025 23:00,45980.00,45980.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/19/2025,Super User Training,48,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
92,10/27/2025 16:03,"lastName, firstName A. - Bldg. 6, RM317, Desk 11 @ 11/19/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 11","lastName, firstName A.",11/19/25 0:00,11/19/25 23:00,11/19/2025 00:00,11/19/2025 23:00,45980.00,45980.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/19/2025,Super User Training,48,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
93,10/27/2025 16:03,"lastName, firstName A. - Bldg. 6, RM317, Desk 12 @ 11/19/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 12","lastName, firstName A.",11/19/25 0:00,11/19/25 23:00,11/19/2025 00:00,11/19/2025 23:00,45980.00,45980.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/19/2025,Super User Training,48,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
94,10/27/2025 16:03,"lastName, firstName A. - Bldg. 6, RM317, Desk 13 @ 11/19/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 13","lastName, firstName A.",11/19/25 0:00,11/19/25 23:00,11/19/2025 00:00,11/19/2025 23:00,45980.00,45980.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/19/2025,Super User Training,48,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
95,10/27/2025 16:03,"lastName, firstName A. - Bldg. 6, RM317, Desk 14 @ 11/19/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 14","lastName, firstName A.",11/19/25 0:00,11/19/25 23:00,11/19/2025 00:00,11/19/2025 23:00,45980.00,45980.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/19/2025,Super User Training,48,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
96,10/27/2025 16:03,"lastName, firstName A. - Bldg. 6, RM317, Desk 15 @ 11/19/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 15","lastName, firstName A.",11/19/25 0:00,11/19/25 23:00,11/19/2025 00:00,11/19/2025 23:00,45980.00,45980.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/19/2025,Super User Training,48,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
